# Alex Pedrini
# 2024-06-06
# The astronomer's digital toolbox course
# pix,pix
x_cen,y_cen
3829.693158884559,4027.481130845276
4172.080650731051,4635.916871816943
1836.0422664038128,1230.0160104786758
3681.824284818905,402.30133432114013
1140.403963327656,7266.510628803315
2975.39525542118,6904.070081406163
1275.6753592406023,6706.07861287055
4216.21373756767,6018.579573856334
1135.965445469591,4540.846120370255
1855.4476479021225,3296.9804094299943
629.4588884745972,5417.929919610079
3603.881375564685,220.55864187968498
2970.4445869015894,728.505588647331
2669.3363984470416,3444.7543321916532
368.79565955582615,2112.6086687723723
4465.970749028977,3349.4018180298717
666.9001648602241,391.0099919155199
944.2631151718123,5382.397819678176
4434.561393374474,3060.397712852103
2797.6279374380074,5929.158703762939
3858.7832116978084,1756.067143203742
4733.44529026835,3526.989666984023
2879.436993480241,7435.706956397936
3310.5436406135996,2064.625229438004
3049.7127351647387,7938.407625002316
3751.507435300717,3017.224190483123
4970.496310941641,2654.3654156802904
214.29763528202307,6811.354654617321
296.66619240302117,6270.156320482827
4444.602818728885,3790.0890562639056
4914.262940629027,4850.180781743891
918.0234211939553,4467.8906081439445
1389.3712960824932,1473.2095795305834
4699.120422747529,812.1968272481474
4593.811769678845,5221.313494235677
4917.316153336898,1921.7350353788102
1538.6371150604161,4574.081956758341
3750.800805753111,3068.6021719027544
1504.2186566477144,6359.787215220206
637.4506894740211,5091.562725116173
3370.33315552642,6840.526021450898
4829.889204418962,6337.463569435687
1912.5625024636556,614.7521096212616
3160.0767532674636,3404.2505624153073
3447.244041372301,111.62283376738901
2216.0751621128693,4586.537055799518
2696.7256805484076,3224.2802230136267
1213.4629302791395,2895.4286765480965
2289.2719942793865,6030.629534287896
1194.9690672361728,3632.730405891815
459.41339113273415,1709.9328163365478
3923.894132364115,7644.92826188565
46.65486504696892,3106.7330984335736
893.3491328907744,4501.169448476629
2716.544001069352,3667.968407869612
298.9373872979933,4116.054933589127
2248.8684797102233,6034.5224750739235
2265.577710478525,5490.906619039948
2005.041477205503,1560.319693577804
1330.0432220413743,6565.075737466657
1586.8691189844392,26.704928091739077
2312.199726606071,2852.3574833898574
523.7166151144535,7658.947581727517
402.817604807168,1078.2511441730164
1839.007171594398,1607.7417661931834
4911.395754691493,1950.8488223228255
303.29576576086646,5372.622083265734
4623.464520319452,5378.521238328527
2433.2078657968946,915.1284093331586
4712.521563393251,5009.430813025305
2738.8016868833106,3550.5165656500094
867.6204907844187,7707.8022176417335
3564.0371556109944,1920.693624873616
109.64517021381792,4648.05435073964
4357.248985697549,6199.847893052997
1941.0814051089376,1742.0950539803819
307.18396188426976,6385.75097988467
4524.47995818751,6734.960996633329
2034.5846147798975,6292.781109580769
4539.924908253206,4905.7256424759435
256.5804850988335,1261.3077070395668
4680.795203494974,627.4646135666666
3797.5633080087414,1713.9677802235012
776.9478739195463,5591.802780115878
1101.6124378347104,4882.388238058619
3276.5454819638644,6255.942071799445
2274.9133134437234,580.6407902230184
3041.8211464453148,1791.7057445020994
1148.6949483310443,4083.344244156338
2839.4306195252607,213.84882574185582
3487.4743985221594,4046.435733168011
1764.28911172962,149.1557298811932
3467.705389406536,1672.457092910494
1881.8556477126642,5640.293867331489
4790.576005402675,3723.016984960479
433.82681780097187,533.1148779437714
4291.630953115478,7474.554745458378
2769.4399233861723,6429.596416930772
677.458620833688,2909.7371928231064
578.8459132973805,5408.9317994613975
1229.4110750877246,2594.39774693773
3386.025319311313,5569.2818575559595
1822.1057034148846,6778.400507698953
1919.630479443727,7603.830002898105
2904.3792631462097,3184.963551157745
1362.8983618192824,5851.694261015101
4417.49971260726,606.683587974719
4584.420417280763,4306.2287821416
3011.344075756684,4061.864830385565
4852.8907836320095,4985.946091330043
996.3567695929287,1688.0541395621522
2053.1624189708104,7270.84412802825
1970.1911921656551,5716.567852175394
3724.3839203307516,1595.7815052001374
4012.0802608975855,7571.229967818822
2738.4427686719687,3041.0326529632925
4281.956197725199,5173.292288111393
4277.984028671702,1378.2302098769765
1192.2994489564592,7791.058320118945
4392.2302829771415,2300.8976119597487
757.2161376394471,3648.1223632881024
779.7341420153448,7012.154530491825
3128.774071851446,3567.3289882107724
1014.5747569321511,5475.220418098028
3700.519570141313,7658.963373824181
4412.481136656409,7060.83626261458
119.56534637829309,6697.259737808717
944.0245263956482,5088.596835755596
2077.8026062956824,4143.26304438899
1096.8856633871565,3373.262210840273
2181.2483957514,7896.90273462024
3171.827751109631,6711.000907571458
2550.8092074645588,3049.26641869816
1362.495687023702,3405.509661933813
4066.6350354969577,6762.468667836932
3072.1621982990578,6685.1548982692775
2136.334323705083,3201.62513995304
1001.9694360960457,6924.73179139277
647.0881151250851,6112.647503166884
3615.5843294381602,4141.890890126914
1214.045964371927,1509.2983181299494
3209.1387873055505,6548.405881515484
4343.032757288967,550.0084793465696
1993.3997749657856,3234.680302078832
481.9166633676486,637.9673260475558
1168.4867432861367,6359.107314618529
2896.134230249653,4159.376816863121
1296.1072912194004,2054.6069752505673
740.4476352582451,3522.3273978283737
3759.4259595408107,5720.412756150209
4349.958929891178,5834.212812971794
3346.5920631602476,5348.757963097772
4464.7853021476585,6919.177832860175
787.5986750991509,4921.938880380045
1099.9591138734781,5525.810025533502
4220.785748154366,3142.1259300228535
818.9581240941662,5613.55175140215
4265.495883279929,1149.194949356869
4555.732063634402,593.4704113399575
1354.1158091313675,3699.0660176007273
463.13974609826226,2238.1964926903606
924.4492751049194,4868.606433740858
2184.2991365279267,6212.123611222221
4688.286622092906,877.1654223558753
4504.728186618412,7073.873649103396
2361.0921150162894,4717.248737754546
4818.757790317242,1055.7987333188823
471.42765135417983,1959.1625901475797
4030.766965779114,4348.021568489838
4629.886053005421,6837.2128456515275
4366.97136678502,5018.020253621454
758.2727361950847,5307.759861158736
4097.280138501592,3739.9237133145143
2990.476670365359,3056.5080941454034
1376.766094865461,226.35916306850845
2352.5671983369157,739.2018074608889
1488.6711647528705,2975.458710909259
236.49320326263435,2041.636873433898
571.3234527196564,3249.6931686149455
1427.2918177004008,719.5819360580797
3713.243943128322,6934.219006690109
766.837676042918,4227.03460594909
4159.2377678810835,4403.378000009711
4415.833778236086,4024.1440816299514
3151.5967929332674,6461.534839104804
3642.0644453033906,456.26956876902904
928.453081373356,3613.096792812084
924.7646869964799,5688.38977186196
1144.6552677952359,700.8820875528752
27.86110703886735,1489.925260933295
3090.7816937331504,6175.399538557982
439.9190970277195,4903.796940487231
27.959453444101335,5223.224883039412
3106.603716518269,3654.590002368978
3571.449447630667,3153.58338333798
4340.909466690579,666.5545110792106
